;I;;;;;II;;;;;III;;;;;IV;;;;Klasyfikacja koäcowa;
;Punkty;PK;Suma;Wynik;;Punkty;PK;Suma;Wynik;;Punkty;PK;Suma;Wynik;;Punkty;PK;Suma;Wynik;Punkty;Wynik
MAX;479;;;;;0;;;;;0;;;;;0;;;;;
Column1;C11;C12;C13;C14;C15;C21;C22;C23;C24;C25;C31;C32;C33;C34;C35;C41;C42;C43;C44;C100;C200
Gawˆowski Krzysztof;479;0;479;1000;;;;0;1000;;;;0;1000;;;;0;1000;;
½ak Paweˆ;364;0;364;760;;;;0;1000;;;;0;1000;;;;0;1000;;
St©pieä Adrian;275;0;275;574;;;;0;1000;;;;0;1000;;;;0;1000;;
Witek Krzysztof;190;0;190;397;;;;0;1000;;;;0;1000;;;;0;1000;;
Szulc Michaˆ;144;0;144;301;;;;0;1000;;;;0;1000;;;;0;1000;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
